identificador;nombre_requisito;origen
RF-01;Registro de parcelas/lotes;convencional (evidencia de entrevista)
RF-02;Catalogo cerrado de cultivos y variedades;convencional (evidencia de entrevista)
RF-03;Registro de actividades agricolas;convencional (evidencia de entrevista)
RF-04;Registro de cosecha por unidad especifica del cultivo;convencional (evidencia de entrevista)
RF-05;Calculo automatico de rendimiento por lote y periodo;convencional (evidencia de entrevista)
RF-06;Calculo automatico de ganancia neta;convencional (evidencia de entrevista)
RF-07;Gestion de inventario de insumos;convencional (evidencia de entrevista)
RF-08;Alertas automaticas de bajo stock;convencional (evidencia de entrevista)
RF-09;Alerta de plagas/enfermedades asistida por IA con verificacion humana obligatoria;convencional (evidencia de entrevista)
RF-10;Diagnostico de plagas por imagen (IA);convencional (evidencia de entrevista)
RF-11;Asignacion y seguimiento de tareas;convencional (evidencia de entrevista)
RF-12;Notificacion movil de tareas asignadas;convencional (evidencia de entrevista)
RF-13;Registro de motivo de rechazo/perdida de fruta;convencional (evidencia de entrevista)
RF-14;Trazabilidad de lote de exportacion;convencional (evidencia de entrevista)
RF-15;Consulta de precio de mercado y estimacion de ingreso;convencional (evidencia de entrevista)
RF-16;Registro de condicion climatica/estado del lote;convencional (evidencia de entrevista)
RF-17;Canal de reporte rapido tipo chat/voz;convencional (evidencia de entrevista)
RF-18;Registro de riesgo/seguridad laboral por lote;convencional (evidencia de entrevista)
RF-19;Reportes de produccion, costos y perdidas con graficos;convencional (evidencia de entrevista)
RF-20;Gestion de usuarios y control de acceso;convencional (evidencia de entrevista)
RF-21;Registro de visitas tecnicas periodicas;convencional (evidencia de entrevista)
RF-26;Registro manual de ingresos y egresos;convencional (evidencia de entrevista)
RF-27;Vista de tareas pendientes por trabajador;convencional (evidencia de entrevista)
RF-28;Campo de observaciones en el registro de tareas;convencional (evidencia de entrevista)
RF-29;Historial completo por parcela;convencional (evidencia de entrevista)
RF-30;Umbral de stock minimo configurable por insumo;convencional (evidencia de entrevista)
RF-31;Deteccion de valores atipicos al ingresar datos;convencional (evidencia de entrevista)
RF-32;Via de integracion futura con sensores de campo;convencional (evidencia de entrevista)
RF-33;Bandeja de sugerencias para disputar una recomendacion de IA;convencional (evidencia de entrevista)
RF-34;Esquema de atributos configurable por variedad de cultivo;convencional (evidencia de entrevista)
RF-35;Registro de analisis de suelo previo a siembra;convencional (evidencia de entrevista)
