"clave","citada_en_manuscrito","tipo","titulo","doi_o_fuente","doi_resuelve","fecha_comprobacion","observacion"
"amaral2021","si","inproceedings","A Model-based Conceptualization of Requirements for Compliance Checking of Data Processing against GDPR","10.1109/REW53955.2021.00009","si","2026-09-03","referencia central del enfoque legal-first"
"breaux2008","si","article","Analyzing regulatory rules for privacy and security requirements","10.1109/TSE.2007.70746","si","2026-09-03",""
"massey2010","si","article","Evaluating existing security and privacy requirements for legal compliance","10.1007/s00766-009-0089-5","si","2026-09-03",""
"deng2011","si","article","A privacy threat analysis framework","10.1007/s00766-010-0115-7","si","2026-09-03",""
"torre2021","si","article","Modeling data protection and privacy application and experience with GDPR","10.1007/s10270-021-00935-5","si","2026-09-03",""
"negriribalta2024","si","article","Understanding the GDPR from a requirements engineering perspective","10.1007/s00766-024-00423-4","si","2026-09-03",""
"arsyad2018","si","inproceedings","Two-factor blockchain for traceability cacao supply chain","10.1007/978-3-319-98557-2_30","si","2026-09-03","actas INCoS 2018 publicadas 2019"
"marchese2022","si","article","A blockchain-based system for agri-food supply chain traceability management","10.1007/s42979-022-01148-3","si","2026-09-03",""
"krishna2024","si","inproceedings","Using LLMs in Software Requirements Specifications An Empirical Evaluation","10.1109/RE59067.2024.00056","si","2026-09-03","paginas 475-483 anadidas tras la comprobacion"
"arora2024","si","incollection","Advancing Requirements Engineering Through Generative AI Assessing the Role of LLMs","10.1007/978-3-031-55642-5_6","si","2026-09-03","corregida. era un supuesto articulo en Communications of the ACM que no se pudo verificar. la publicacion real es el capitulo de libro de Springer"
"cheng2026","si","article","Generative AI for Requirements Engineering A Systematic Literature Review","10.1002/spe.70029","si","2026-09-03","Software Practice and Experience vol 56 num 2 pp 141-170. se corrigio el apellido de un autor de Nishioka a Yoshioka"
"vogelsang2024","si","techreport","Using large language models for NLP tasks in requirements engineering A systematic guideline","10.48550/arXiv.2402.13823","si","2026-09-03","preprint arXiv con DOI de DataCite"
"vogelsang2019","si","inproceedings","Requirements Engineering for Machine Learning Perspectives from Data Scientists","10.1109/REW.2019.00050","si","2026-09-03",""
"chazette2020","si","article","Explainability as a non-functional requirement challenges and recommendations","10.1007/s00766-020-00333-1","si","2026-09-03",""
"ferrari2016","si","article","Ambiguity and tacit knowledge in requirements elicitation interviews","10.1007/s00766-016-0249-3","si","2026-09-03",""
"runeson2009","si","article","Guidelines for conducting and reporting case study research in software engineering","10.1007/s10664-008-9102-8","si","2026-09-03","en linea 2008 impreso vol 14 num 2 en 2009"
"nosek2018","si","article","The preregistration revolution","10.1073/pnas.1708274114","si","2026-09-03","PNAS vol 115 num 11"
"kitchenham2007","si","techreport","Guidelines for performing systematic literature reviews in software engineering","Informe tecnico EBSE 2007-001 de Keele University y Durham University","no aplica","2026-09-03","informe tecnico sin DOI fuente institucional verificada"
"lopdp2021","si","misc","Ley Organica de Proteccion de Datos Personales","Registro Oficial Quinto Suplemento numero 459 del 26-05-2021","no aplica","2026-09-03","fuente legal ecuatoriana sin DOI con URL oficial en referencias.bib"
"rlopdp2023","si","misc","Reglamento General a la Ley Organica de Proteccion de Datos Personales","Decreto Ejecutivo numero 904 Registro Oficial Tercer Suplemento numero 435 del 13-11-2023","no aplica","2026-09-03","fuente legal ecuatoriana sin DOI con URL oficial anadida"
"agrocalidad183","si","misc","Guia de Buenas Practicas Agricolas para Cacao Resolucion Tecnica numero 183","AGROCALIDAD con URL oficial","no aplica","2026-09-03","fuente normativa sectorial sin DOI"
"agrocalidad0072","no","misc","Plan de Accion para el control de Ralstonia solanacearum Raza 2 Resolucion numero 0072","AGROCALIDAD con URL oficial","no aplica","2026-09-03","citada en el ERS y el protocolo no en el manuscrito"
"isoiecieee29148","no","techreport","ISO IEC IEEE 29148 2018 Requirements engineering","norma ISO IEC IEEE catalogo ISO","no aplica","2026-09-03","norma internacional se cita por numero y anio sin DOI"
"isoiec25010","no","techreport","ISO IEC 25010 2023 SQuaRE Product quality model","norma ISO IEC catalogo ISO","no aplica","2026-09-03","norma internacional se cita por numero y anio sin DOI"
"swebok","no","techreport","Guide to the Software Engineering Body of Knowledge version 4.0","IEEE Computer Society","no aplica","2026-09-03","guia institucional sin DOI"
"pohl2010","no","book","Requirements Engineering Fundamentals Principles and Techniques","10.1007/978-3-642-12578-2","si","2026-09-03","libro de Springer DOI de la edicion verificado en Crossref"
"chazette2021","no","inproceedings","Exploring explainability a definition a model and a knowledge catalogue","10.1109/RE51729.2021.00025","si","2026-09-03","actas 2021 IEEE 29th RE Conference pp 197-208"
"chazette2022","no","article","Explainable software systems from requirements analysis to system evaluation","10.1007/s00766-022-00393-5","si","2026-09-03","Requirements Engineering vol 27 num 4 pp 457-487"
"girmay2025","no","article","Explainability Needs in Agriculture Exploring Dairy Farmers User Personas","10.48550/arXiv.2509.16249","si","2026-09-03","preprint arXiv con DOI de DataCite"
"bhattarai2026","no","article","Scale trust and the digital divide a systematic review of AI and ML for agricultural applications","10.3389/frai.2026.1798896","si","2026-09-03","Frontiers in Artificial Intelligence vol 9"
"miller2019","no","article","Explanation in artificial intelligence Insights from the social sciences","10.1016/j.artint.2018.07.007","si","2026-09-03","Artificial Intelligence vol 267 pp 1-38"
"jedlitschka2008","no","incollection","Reporting experiments in software engineering","10.1007/978-1-84800-044-5_8","si","2026-09-03","capitulo de Guide to Advanced Empirical Software Engineering de Springer"
"wohlin2012","no","book","Experimentation in Software Engineering","10.1007/978-3-642-29044-2","si","2026-09-03","libro de Springer DOI verificado en Crossref"
"molleri2020","no","article","An empirically evaluated checklist for surveys in software engineering","10.1016/j.infsof.2019.106240","si","2026-09-03","Information and Software Technology vol 119 articulo 106240"
"hennink2017","no","article","Code saturation versus meaning saturation how many interviews are enough","10.1177/1049732316665344","si","2026-09-03","Qualitative Health Research vol 27 num 4 pp 591-608"
"hagaman2017","no","article","How many interviews are enough to identify metathemes in multisited and cross-cultural research","10.1177/1525822X16640447","si","2026-09-03","Field Methods vol 29 num 1 pp 23-41"
"guest2006","no","article","How many interviews are enough an experiment with data saturation and variability","10.1177/1525822X05279903","si","2026-09-03","Field Methods vol 18 num 1 pp 59-82"
"braun2006","no","article","Using thematic analysis in psychology","10.1191/1478088706qp063oa","si","2026-09-03","Qualitative Research in Psychology vol 3 num 2 pp 77-101"
"mendez2017","no","article","Naming the pain in requirements engineering contemporary problems causes and effects in practice","10.1007/s10664-016-9451-7","si","2026-09-03","Empirical Software Engineering vol 22 num 5 pp 2298-2338"
"montgomery2022","no","article","Empirical research on requirements quality a systematic mapping study","10.1007/s00766-021-00367-z","si","2026-09-03","Requirements Engineering vol 27 num 2 pp 183-209"
"fischbach2023","no","article","Automatic creation of acceptance tests by extracting conditionals from requirements NLP approach and case study","10.1016/j.jss.2022.111549","si","2026-09-03","corregida. la entrada tenia mal la revista Information and Software Technology vol 154. la publicacion real es Journal of Systems and Software vol 197 articulo 111549"
"cohen1960","no","article","A coefficient of agreement for nominal scales","10.1177/001316446002000104","si","2026-09-03","Educational and Psychological Measurement vol 20 num 1 pp 37-46"
"fleiss1971","no","article","Measuring nominal scale agreement among many raters","10.1037/h0031619","si","2026-09-03","Psychological Bulletin vol 76 num 5 pp 378-382"
"wilkinson2016","no","article","The FAIR guiding principles for scientific data management and stewardship","10.1038/sdata.2016.18","si","2026-09-03","Scientific Data vol 3 articulo 160018. se completo el DOI que faltaba"
"smith2016","no","article","Software citation principles","10.7717/peerj-cs.86","si","2026-09-03","PeerJ Computer Science vol 2 articulo e86"
"druskat2021","no","misc","Citation File Format version 1.2.0","especificacion de formato en github.com/citation-file-format","no aplica","2026-09-03","especificacion tecnica de formato sin DOI de articulo"
"kano1984","no","article","Attractive quality and must-be quality","10.20684/quality.14.2_147","si","2026-09-03","citada en el ERS en la priorizacion MoSCoW y Kano no en el manuscrito"
